"Phylum","Class","Order","Family","Genus","Taxa","Rank","Host","stat","p_value","p_value_corr"
"Firmicutes","Clostridia","Clostridiales",NA,NA,"Clostridiales","Order","Siganus_luridus",13.9901,2e-04,0.0025
"Firmicutes","Erysipelotrichia","Erysipelotrichales",NA,NA,"Erysipelotrichales","Order","Siganus_luridus",2.7785,0.0955,0.2011
"Fusobacteria","Fusobacteriia","Fusobacteriales",NA,NA,"Fusobacteriales","Order","Siganus_luridus",0.238,0.6256,0.747
"Proteobacteria","Alphaproteobacteria","Rhodobacterales",NA,NA,"Rhodobacterales","Order","Siganus_luridus",2.2628,0.1325,0.2524
"Proteobacteria","Deltaproteobacteria","Desulfovibrionales",NA,NA,"Desulfovibrionales","Order","Siganus_luridus",5.5603,0.0184,0.07
"Spirochaetes","Brachyspirae","Brachyspirales",NA,NA,"Brachyspirales","Order","Siganus_luridus",2.2628,0.1325,0.2524
"Tenericutes","Mollicutes","Anaeroplasmatales",NA,NA,"Anaeroplasmatales","Order","Siganus_luridus",5,0.0253,0.0811
"Tenericutes","Mollicutes","Mollicutes_RF39",NA,NA,"Mollicutes_RF39","Order","Siganus_luridus",3.4975,0.0615,0.1405
"Verrucomicrobia","Verrucomicrobiae","Verrucomicrobiales",NA,NA,"Verrucomicrobiales","Order","Siganus_luridus",4.8198,0.0281,0.086
"Bacteroidetes",NA,NA,NA,NA,"Bacteroidetes","Phylum","Siganus_luridus",16.8612,0,0.0025
"Deferribacteres",NA,NA,NA,NA,"Deferribacteres","Phylum","Siganus_luridus",0.9521,0.3292,0.4541
"Epsilonbacteraeota",NA,NA,NA,NA,"Epsilonbacteraeota","Phylum","Siganus_luridus",5.1835,0.0228,0.076
"Firmicutes",NA,NA,NA,NA,"Firmicutes","Phylum","Siganus_luridus",13.9901,2e-04,0.0025
"Fusobacteria",NA,NA,NA,NA,"Fusobacteria","Phylum","Siganus_luridus",1.1174,0.2905,0.4304
"Proteobacteria",NA,NA,NA,NA,"Proteobacteria","Phylum","Siganus_luridus",1.5884,0.2076,0.3133
"Spirochaetes",NA,NA,NA,NA,"Spirochaetes","Phylum","Siganus_luridus",5.1835,0.0228,0.076
"Tenericutes",NA,NA,NA,NA,"Tenericutes","Phylum","Siganus_luridus",5.7537,0.0165,0.0658
